"Link--primary","Link--primary href","Link--secondary","Link--secondary href","react-directory-commit-age"
"Athletic Bilbao.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Athletic%20Bilbao.png","Restructure","https://github.com/luukhopman/football-logos/commit/324c2de253fc0f8f7d4ac9ba14d3b7fd4230add6","Sep 3, 2024"
"Atlético de Madrid.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Atl%C3%A9tico%20de%20Madrid.png","Restructure","https://github.com/luukhopman/football-logos/commit/324c2de253fc0f8f7d4ac9ba14d3b7fd4230add6","Sep 3, 2024"
"CA Osasuna.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/CA%20Osasuna.png","Restructure","https://github.com/luukhopman/football-logos/commit/324c2de253fc0f8f7d4ac9ba14d3b7fd4230add6","Sep 3, 2024"
"Celta de Vigo.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Celta%20de%20Vigo.png","Restructure","https://github.com/luukhopman/football-logos/commit/324c2de253fc0f8f7d4ac9ba14d3b7fd4230add6","Sep 3, 2024"
"Deportivo Alavés.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Deportivo%20Alav%C3%A9s.png","Restructure","https://github.com/luukhopman/football-logos/commit/324c2de253fc0f8f7d4ac9ba14d3b7fd4230add6","Sep 3, 2024"
"Elche CF.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Elche%20CF.png","2025/26","https://github.com/luukhopman/football-logos/commit/11ff61c1cb898d263ccdf09b207fef77dff0c7d1","Jun 23, 2025"
"FC Barcelona.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/FC%20Barcelona.png","Restructure","https://github.com/luukhopman/football-logos/commit/324c2de253fc0f8f7d4ac9ba14d3b7fd4230add6","Sep 3, 2024"
"Getafe CF.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Getafe%20CF.png","Restructure","https://github.com/luukhopman/football-logos/commit/324c2de253fc0f8f7d4ac9ba14d3b7fd4230add6","Sep 3, 2024"
"Girona FC.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Girona%20FC.png","2025/26","https://github.com/luukhopman/football-logos/commit/11ff61c1cb898d263ccdf09b207fef77dff0c7d1","Jun 23, 2025"
"Levante UD.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Levante%20UD.png","2025/26","https://github.com/luukhopman/football-logos/commit/11ff61c1cb898d263ccdf09b207fef77dff0c7d1","Jun 23, 2025"
"RCD Espanyol Barcelona.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/RCD%20Espanyol%20Barcelona.png","Restructure","https://github.com/luukhopman/football-logos/commit/324c2de253fc0f8f7d4ac9ba14d3b7fd4230add6","Sep 3, 2024"
"RCD Mallorca.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/RCD%20Mallorca.png","Restructure","https://github.com/luukhopman/football-logos/commit/324c2de253fc0f8f7d4ac9ba14d3b7fd4230add6","Sep 3, 2024"
"Rayo Vallecano.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Rayo%20Vallecano.png","Restructure","https://github.com/luukhopman/football-logos/commit/324c2de253fc0f8f7d4ac9ba14d3b7fd4230add6","Sep 3, 2024"
"Real Betis Balompié.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Real%20Betis%20Balompi%C3%A9.png","Restructure","https://github.com/luukhopman/football-logos/commit/324c2de253fc0f8f7d4ac9ba14d3b7fd4230add6","Sep 3, 2024"
"Real Madrid.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Real%20Madrid.png","2025/26","https://github.com/luukhopman/football-logos/commit/11ff61c1cb898d263ccdf09b207fef77dff0c7d1","Jun 23, 2025"
"Real Oviedo.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Real%20Oviedo.png","2025/26","https://github.com/luukhopman/football-logos/commit/11ff61c1cb898d263ccdf09b207fef77dff0c7d1","Jun 23, 2025"
"Real Sociedad.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Real%20Sociedad.png","Restructure","https://github.com/luukhopman/football-logos/commit/324c2de253fc0f8f7d4ac9ba14d3b7fd4230add6","Sep 3, 2024"
"Sevilla FC.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Sevilla%20FC.png","2025/26","https://github.com/luukhopman/football-logos/commit/11ff61c1cb898d263ccdf09b207fef77dff0c7d1","Jun 23, 2025"
"Valencia CF.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Valencia%20CF.png","Restructure","https://github.com/luukhopman/football-logos/commit/324c2de253fc0f8f7d4ac9ba14d3b7fd4230add6","Sep 3, 2024"
"Villarreal CF.png","https://github.com/luukhopman/football-logos/blob/master/logos/Spain%20-%20LaLiga/Villarreal%20CF.png","Restructure","https://github.com/luukhopman/football-logos/commit/324c2de253fc0f8f7d4ac9ba14d3b7fd4230add6","Sep 3, 2024"
