"item-title","item-title href","item-title src","copies-text","card-footer","px-3","submission-preview src"
"Abde","https://sortitoutsi.net/graphics/browse/1/1263489/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000053956.png","2000053956","0
                                 12","",""
"Aimar","https://sortitoutsi.net/graphics/browse/1/1378231/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000125474.png","2000125474","0
                                 4","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/2000125474.png?width=100&height=100"
"Aitor Aranguren","https://sortitoutsi.net/graphics/browse/1/1805381/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000423307.png","2000423307","Contribute","",""
"Aitor Mañas","https://sortitoutsi.net/graphics/browse/1/1377514/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000126484.png","2000126484","0
                                 4","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000126484.png?width=100&height=100"
"Alberto Moreno","https://sortitoutsi.net/graphics/browse/1/1268086/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000060659.png","2000060659","0
                                 6","V 2023.05","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.05/2000060659.png?width=100&height=100"
"Alejandro Bueso","https://sortitoutsi.net/graphics/browse/1/1562815/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000299691.png","2000299691","0
                                 2","V 2024.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.02/2000299691.png?width=100&height=100"
"Álex López","https://sortitoutsi.net/graphics/browse/1/1801563/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000449022.png","2000449022","Contribute","",""
"Álvaro García","https://sortitoutsi.net/graphics/browse/1/1811223/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000374246.png","2000374246","Contribute","",""
"Ander Carmona","https://sortitoutsi.net/graphics/browse/1/1820213/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000448981.png","2000448981","Contribute","",""
"Ander Guevara","https://sortitoutsi.net/graphics/browse/1/460408/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67246381.png","67246381","0
                                 24","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/67246381.png?width=100&height=100"
"Ander Muñoz","https://sortitoutsi.net/graphics/browse/1/1801961/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000449020.png","2000449020","Contribute","",""
"Ander Sánchez","https://sortitoutsi.net/graphics/browse/1/1577845/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000274557.png","2000274557","0
                                 4","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/2000274557.png?width=100&height=100"
"Ander Varona","https://sortitoutsi.net/graphics/browse/1/1800952/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000401155.png","2000401155","0
                                 2","",""
"Andoni Arzak","https://sortitoutsi.net/graphics/browse/1/1373133/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000132412.png","2000132412","0
                                 5","V 2025.04","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.04/2000132412.png?width=100&height=100"
"Antonio Blanco","https://sortitoutsi.net/graphics/browse/1/785011/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67256515.png","67256515","0
                                 31","",""
"Antonio Sivera","https://sortitoutsi.net/graphics/browse/1/456901/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67186869.png","67186869","2
                                 20","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/67186869.png?width=100&height=100"
