"item-title","item-title href","item-title src","copies-text","px-3","submission-preview src","card-footer"
"Adama","https://sortitoutsi.net/graphics/browse/1/1390879/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000107074.png","2000107074","V 2024.12","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.12/2000107074.png?width=100&height=100","0
                                 8"
"Adrián Lekuna","https://sortitoutsi.net/graphics/browse/1/1819867/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000384535.png","2000384535","","","0
                                 2"
"Adrián Pérez","https://sortitoutsi.net/graphics/browse/1/1574594/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000280111.png","2000280111","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000280111.png?width=100&height=100","0
                                 3"
"Aimar Duñabeitia","https://sortitoutsi.net/graphics/browse/1/1313642/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000065893.png","2000065893","V 2022.14","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2022.14/2000065893.png?width=100&height=100","0
                                 5"
"Aitor León","https://sortitoutsi.net/graphics/browse/1/1821352/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000380190.png","2000380190","","","0
                                 2"
"Aitor Paredes","https://sortitoutsi.net/graphics/browse/1/976579/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67276232.png","67276232","V 2024.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.07/67276232.png?width=100&height=100","0
                                 15"
"Alain","https://sortitoutsi.net/graphics/browse/1/1820891/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000489703.png","2000489703","","","0
                                 1"
"Albi","https://sortitoutsi.net/graphics/browse/1/1824238/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000489696.png","2000489696","","","0
                                 1"
"Alejandro Rego","https://sortitoutsi.net/graphics/browse/1/1370975/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000135696.png","2000135696","V 2023.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.01/2000135696.png?width=100&height=100","0
                                 5"
"Álex Berenguer","https://sortitoutsi.net/graphics/browse/1/455549/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67157520.png","67157520","","","1
                                 28"
"Álex Carril","https://sortitoutsi.net/graphics/browse/1/1820401/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000489683.png","2000489683","","","0
                                 1"
"Álex Padilla","https://sortitoutsi.net/graphics/browse/1/1313651/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000065884.png","2000065884","V 2023.15","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.15/2000065884.png?width=100&height=100","1
                                 11"
"Ander Ezpeleta","https://sortitoutsi.net/graphics/browse/1/1820347/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000503366.png","2000503366","","","0
                                 1"
"Ander Izagirre","https://sortitoutsi.net/graphics/browse/1/1720995/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000380185.png","2000380185","","","0
                                 1"
"Ander Peciña","https://sortitoutsi.net/graphics/browse/1/1824025/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000384490.png","2000384490","","","0
                                 1"
"Andoni Gorosabel","https://sortitoutsi.net/graphics/browse/1/457839/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67202652.png","67202652","","","0
                                 29"
"Andrés Camilo Jaimes","https://sortitoutsi.net/graphics/browse/1/1820882/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000380189.png","2000380189","","","0
                                 2"
"Aritz Conde","https://sortitoutsi.net/graphics/browse/1/1621609/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000330745.png","2000330745","V 2024.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.07/2000330745.png?width=100&height=100","0
                                 2"
"Asier Hierro","https://sortitoutsi.net/graphics/browse/1/1466492/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000217184.png","2000217184","V 2023.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.01/2000217184.png?width=100&height=100","0
                                 3"
"Asier Torres","https://sortitoutsi.net/graphics/browse/1/1814436/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000457487.png","2000457487","","","0
                                 1"
"Aymeric Laporte","https://sortitoutsi.net/graphics/browse/1/503826/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/85085378.png","85085378","V 2024.10","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.10/85085378.png?width=100&height=100","3
                                 52"
"Beñat García","https://sortitoutsi.net/graphics/browse/1/1570251/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000287935.png","2000287935","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000287935.png?width=100&height=100","0
                                 3"
"Beñat Larrea","https://sortitoutsi.net/graphics/browse/1/1820663/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000384488.png","2000384488","","","0
                                 2"
"Beñat Prados","https://sortitoutsi.net/graphics/browse/1/990313/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67277835.png","67277835","V 2023.04","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.04/67277835.png?width=100&height=100","1
                                 15"
"Christian Imga","https://sortitoutsi.net/graphics/browse/1/1826864/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000503369.png","2000503369","","","0
                                 1"
"Danel Belategi","https://sortitoutsi.net/graphics/browse/1/1570390/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000287757.png","2000287757","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000287757.png?width=100&height=100","0
                                 3"
"Dani Pérez","https://sortitoutsi.net/graphics/browse/1/1564361/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000296996.png","2000296996","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000296996.png?width=100&height=100","0
                                 3"
"Dani Vivian","https://sortitoutsi.net/graphics/browse/1/783505/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67256618.png","67256618","V 2024.10","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.10/67256618.png?width=100&height=100","0
                                 22"
"David Arredondo","https://sortitoutsi.net/graphics/browse/1/1466433/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000217267.png","2000217267","V 2023.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.01/2000217267.png?width=100&height=100","0
                                 4"
"David Osipov","https://sortitoutsi.net/graphics/browse/1/1466441/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000217259.png","2000217259","V 2023.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.01/2000217259.png?width=100&height=100","0
                                 3"
"Diego Fernández","https://sortitoutsi.net/graphics/browse/1/1820460/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000482451.png","2000482451","","","0
                                 2"
"Eder García","https://sortitoutsi.net/graphics/browse/1/1367009/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000141541.png","2000141541","V 2023.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.06/2000141541.png?width=100&height=100","0
                                 4"
"Eghosa Nomayo","https://sortitoutsi.net/graphics/browse/1/1577270/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000275413.png","2000275413","V 2024.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.03/2000275413.png?width=100&height=100","0
                                 2"
"Egoitz","https://sortitoutsi.net/graphics/browse/1/1824471/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000467244.png","2000467244","","","0
                                 2"
"Elijah Gift","https://sortitoutsi.net/graphics/browse/1/1484323/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000191847.png","2000191847","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/2000191847.png?width=100&height=100","0
                                 5"
"Eñaut Lete","https://sortitoutsi.net/graphics/browse/1/1367032/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000141496.png","2000141496","V 2024.12","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.12/2000141496.png?width=100&height=100","0
                                 5"
"Endika Buján","https://sortitoutsi.net/graphics/browse/1/1564735/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000296241.png","2000296241","V 2024.12","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.12/2000296241.png?width=100&height=100","0
                                 4"
"Eneko Ebro","https://sortitoutsi.net/graphics/browse/1/1382951/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000119302.png","2000119302","V 2022.14","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2022.14/2000119302.png?width=100&height=100","0
                                 6"
