"item-title","item-title href","item-title src","copies-text","px-3","submission-preview src","card-footer"
"Adrián Corral","https://sortitoutsi.net/graphics/browse/1/1265942/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000057468.png","2000057468","V 2022.12","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2022.12/2000057468.png?width=100&height=100","1
                                 5"
"Aimar García","https://sortitoutsi.net/graphics/browse/1/1813459/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000448405.png","2000448405","","","Contribute"
"Aleksa Puric","https://sortitoutsi.net/graphics/browse/1/1404277/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000086286.png","2000086286","","","0
                                 7"
"Álex Baena","https://sortitoutsi.net/graphics/browse/1/1067051/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67287665.png","67287665","","","0
                                 16"
"Alexander Sørloth","https://sortitoutsi.net/graphics/browse/1/393696/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/53063430.png","53063430","","","0
                                 34"
"Álvaro Moreno","https://sortitoutsi.net/graphics/browse/1/1811622/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000396082.png","2000396082","","","0
                                 2"
"Álvaro Tamargo","https://sortitoutsi.net/graphics/browse/1/1562393/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000300229.png","2000300229","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000300229.png?width=100&height=100","0
                                 2"
"Antoine Griezmann","https://sortitoutsi.net/graphics/browse/1/451151/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67086656.png","67086656","","","27
                                 77"
"Arnau Ortiz","https://sortitoutsi.net/graphics/browse/1/1374608/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000130406.png","2000130406","V 2024.11","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.11/2000130406.png?width=100&height=100","1
                                 8"
"Bogdan Ungureanu","https://sortitoutsi.net/graphics/browse/1/1820862/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000362347.png","2000362347","","","0
                                 2"
"Brayan de la Cruz","https://sortitoutsi.net/graphics/browse/1/1819835/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000486260.png","2000486260","","","Contribute"
"Carlos Giménez","https://sortitoutsi.net/graphics/browse/1/1427734/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000145427.png","2000145427","V 2025.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.01/2000145427.png?width=100&height=100","0
                                 5"
"Carlos Martín","https://sortitoutsi.net/graphics/browse/1/1374461/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000130577.png","2000130577","","","0
                                 14"
"Clément Lenglet","https://sortitoutsi.net/graphics/browse/1/503392/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/85078880.png","85078880","V 2025.08","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/85078880.png?width=100&height=100","3
                                 35"
"Conor Gallagher","https://sortitoutsi.net/graphics/browse/1/284279/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/28108036.png","28108036","","","0
                                 39"
"Dani Martínez","https://sortitoutsi.net/graphics/browse/1/1468763/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000213929.png","2000213929","V 2023.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.06/2000213929.png?width=100&height=100","0
                                 4"
"Dani Muñoz","https://sortitoutsi.net/graphics/browse/1/1823686/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000425089.png","2000425089","","","0
                                 1"
"Daniel Fitzgerald","https://sortitoutsi.net/graphics/browse/1/1824092/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000485059.png","2000485059","","","0
                                 1"
"Darío","https://sortitoutsi.net/graphics/browse/1/1562399/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000300222.png","2000300222","V 2024.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.03/2000300222.png?width=100&height=100","0
                                 2"
"David Arza","https://sortitoutsi.net/graphics/browse/1/1825919/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000485207.png","2000485207","","","0
                                 1"
