"item-title","item-title href","item-title src","copies-text","px-3","submission-preview src","card-footer"
"Adrián","https://sortitoutsi.net/graphics/browse/1/447589/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67006173.png","67006173","V 2024.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.00/67006173.png?width=100&height=100","0
                                 31"
"Adrián Coderch","https://sortitoutsi.net/graphics/browse/1/1793784/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000477537.png","2000477537","","","Contribute"
"Adrián Martín","https://sortitoutsi.net/graphics/browse/1/1536207/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000238350.png","2000238350","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/2000238350.png?width=100&height=100","0
                                 5"
"Aitor Gismera","https://sortitoutsi.net/graphics/browse/1/1377832/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000125964.png","2000125964","V 2023.10","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.10/2000125964.png?width=100&height=100","0
                                 9"
"Aitor Ruibal","https://sortitoutsi.net/graphics/browse/1/458811/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67220941.png","67220941","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/67220941.png?width=100&height=100","0
                                 17"
"Alberto De Haro","https://sortitoutsi.net/graphics/browse/1/1820424/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000506320.png","2000506320","","","Contribute"
"Álvaro Valles","https://sortitoutsi.net/graphics/browse/1/512747/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/89051923.png","89051923","","","6
                                 10"
"Ángel Ortiz","https://sortitoutsi.net/graphics/browse/1/1370050/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000137137.png","2000137137","V 2022.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2022.03/2000137137.png?width=100&height=100","0
                                 2"
"Antonio González","https://sortitoutsi.net/graphics/browse/1/1820484/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000420817.png","2000420817","","","0
                                 1"
"Antonio Toral","https://sortitoutsi.net/graphics/browse/1/1713693/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000415462.png","2000415462","","","Contribute"
"Antony","https://sortitoutsi.net/graphics/browse/1/783317/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/19338230.png","19338230","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/19338230.png?width=100&height=100","6
                                 44"
"Bili","https://sortitoutsi.net/graphics/browse/1/1622813/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000328858.png","2000328858","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/2000328858.png?width=100&height=100","0
                                 2"
"Borja Alonso","https://sortitoutsi.net/graphics/browse/1/1466187/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000217593.png","2000217593","V 2023.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.02/2000217593.png?width=100&height=100","3
                                 3"
"Bruno Klimek","https://sortitoutsi.net/graphics/browse/1/1812696/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000455847.png","2000455847","","","0
                                 1"
"Carlos De Roa","https://sortitoutsi.net/graphics/browse/1/1824097/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000420813.png","2000420813","","","0
                                 1"
"Carlos Reina","https://sortitoutsi.net/graphics/browse/1/1470825/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000210784.png","2000210784","V 2023.08","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.08/2000210784.png?width=100&height=100","0
                                 3"
"Cayetano Cordón","https://sortitoutsi.net/graphics/browse/1/1812143/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000335222.png","2000335222","","","Contribute"
"Cédric Bakambu","https://sortitoutsi.net/graphics/browse/1/299096/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/34009930.png","34009930","V 2024.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.02/34009930.png?width=100&height=100","2
                                 28"
"Chata","https://sortitoutsi.net/graphics/browse/1/1751649/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000457940.png","2000457940","","","0
                                 1"
"Chuli","https://sortitoutsi.net/graphics/browse/1/1468273/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000214607.png","2000214607","V 2023.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.02/2000214607.png?width=100&height=100","0
                                 2"
"Cucho Hernández","https://sortitoutsi.net/graphics/browse/1/481337/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/76043783.png","76043783","V 2025.04","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.04/76043783.png?width=100&height=100","0
                                 22"
"Curro Macías","https://sortitoutsi.net/graphics/browse/1/1812683/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000504180.png","2000504180","","","Contribute"
