"item-title","item-title href","item-title src","copies-text","px-3","submission-preview src","card-footer"
"Adrià Capdevila","https://sortitoutsi.net/graphics/browse/1/1439099/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000161848.png","2000161848","V 2025.08","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/2000161848.png?width=100&height=100","0
                                 9"
"Aldrine Kibet","https://sortitoutsi.net/graphics/browse/1/1811740/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000377126.png","2000377126","","","0
                                 2"
"Álvaro Marín","https://sortitoutsi.net/graphics/browse/1/1382942/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000119313.png","2000119313","","","0
                                 7"
"Andrés Antañón","https://sortitoutsi.net/graphics/browse/1/1811777/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000332665.png","2000332665","","","0
                                 1"
"Ángel Arcos","https://sortitoutsi.net/graphics/browse/1/1620610/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000332661.png","2000332661","","","0
                                 5"
"Ángel Davila","https://sortitoutsi.net/graphics/browse/1/1770895/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000419969.png","2000419969","","","0
                                 1"
"Anthony Khayat","https://sortitoutsi.net/graphics/browse/1/1710920/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000460764.png","2000460764","","","0
                                 2"
"Anxo Rodríguez","https://sortitoutsi.net/graphics/browse/1/1780103/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000395283.png","2000395283","","","0
                                 1"
"Aslak Opi","https://sortitoutsi.net/graphics/browse/1/1802560/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000478193.png","2000478193","","","0
                                 1"
"Borja Iglesias","https://sortitoutsi.net/graphics/browse/1/455768/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67173048.png","67173048","","","1
                                 26"
"Bryan Zaragoza","https://sortitoutsi.net/graphics/browse/1/1263701/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000054263.png","2000054263","","","0
                                 14"
"Caio Barone","https://sortitoutsi.net/graphics/browse/1/1536138/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000238467.png","2000238467","","","0
                                 8"
"Carl Starfelt","https://sortitoutsi.net/graphics/browse/1/525481/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/93055760.png","93055760","","","0
                                 27"
"Carlos Domínguez","https://sortitoutsi.net/graphics/browse/1/1066811/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67279603.png","67279603","","","0
                                 12"
"Coke Carrillo","https://sortitoutsi.net/graphics/browse/1/1260060/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000048835.png","2000048835","","","3
                                 12"
"Cristian Carro","https://sortitoutsi.net/graphics/browse/1/1790323/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000383221.png","2000383221","","","0
                                 1"
"Damián","https://sortitoutsi.net/graphics/browse/1/1262509/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000052483.png","2000052483","","","0
                                 7"
"Dani Noya","https://sortitoutsi.net/graphics/browse/1/1789471/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000388782.png","2000388782","","","0
                                 1"
"David De La Iglesia","https://sortitoutsi.net/graphics/browse/1/1379219/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000124139.png","2000124139","V 2026.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2026.00/2000124139.png?width=100&height=100","0
                                 9"
"Ferran Jutglà","https://sortitoutsi.net/graphics/browse/1/976354/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67272136.png","67272136","","","0
                                 19"
"Fran Beltrán","https://sortitoutsi.net/graphics/browse/1/459897/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67232115.png","67232115","","","6
                                 32"
"Franco Cervi","https://sortitoutsi.net/graphics/browse/1/184054/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/14078688.png","14078688","","","3
                                 32"
"Germain Milla","https://sortitoutsi.net/graphics/browse/1/1801620/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000381341.png","2000381341","","","0
                                 1"
"Gonzalo Barcón","https://sortitoutsi.net/graphics/browse/1/1790345/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000487735.png","2000487735","","","0
                                 1"
"Hugo Álvarez","https://sortitoutsi.net/graphics/browse/1/1262546/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000052525.png","2000052525","","","0
                                 10"
"Hugo Burcio","https://sortitoutsi.net/graphics/browse/1/1620608/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000332663.png","2000332663","","","0
                                 6"
"Hugo González","https://sortitoutsi.net/graphics/browse/1/1067463/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67295025.png","67295025","V 2026.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2026.00/67295025.png?width=100&height=100","0
                                 15"
