"item-title","item-title href","item-title src","copies-text","px-3","submission-preview src","card-footer"
"Adam Boayar","https://sortitoutsi.net/graphics/browse/1/1463919/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000221092.png","2000221092","V 2024.09","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.09/2000221092.png?width=100&height=100","1
                                 8"
"Adrià Pedrosa","https://sortitoutsi.net/graphics/browse/1/531019/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/95035991.png","95035991","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/95035991.png?width=100&height=100","2
                                 23"
"Albert Niculaesei","https://sortitoutsi.net/graphics/browse/1/1820393/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000411124.png","2000411124","","","0
                                 1"
"Aleix Febas","https://sortitoutsi.net/graphics/browse/1/456224/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67179156.png","67179156","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67179156.png?width=100&height=100","0
                                 15"
"Alejandro Iturbe","https://sortitoutsi.net/graphics/browse/1/1260477/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000049485.png","2000049485","V 2024.08","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.08/2000049485.png?width=100&height=100","0
                                 13"
"Alejandro Ramos","https://sortitoutsi.net/graphics/browse/1/1521383/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000228172.png","2000228172","V 2023.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.01/2000228172.png?width=100&height=100","0
                                 1"
"Ali Houary","https://sortitoutsi.net/graphics/browse/1/1463920/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000221091.png","2000221091","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/2000221091.png?width=100&height=100","0
                                 5"
"Álvaro Núñez","https://sortitoutsi.net/graphics/browse/1/976578/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67276231.png","67276231","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67276231.png?width=100&height=100","0
                                 12"
"Álvaro Padilla","https://sortitoutsi.net/graphics/browse/1/1802042/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000510304.png","2000510304","","","0
                                 1"
"Álvaro Rodríguez","https://sortitoutsi.net/graphics/browse/1/1465762/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000218258.png","2000218258","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/2000218258.png?width=100&height=100","1
                                 12"
"André Silva","https://sortitoutsi.net/graphics/browse/1/399790/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/55041694.png","55041694","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/55041694.png?width=100&height=100","1
                                 41"
"Antonio Martínez","https://sortitoutsi.net/graphics/browse/1/1462055/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000223844.png","2000223844","V 2023.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.07/2000223844.png?width=100&height=100","0
                                 3"
"Bambo Diaby","https://sortitoutsi.net/graphics/browse/1/367315/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/43318440.png","43318440","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/43318440.png?width=100&height=100","1
                                 16"
"Bema Sina","https://sortitoutsi.net/graphics/browse/1/1530968/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000246243.png","2000246243","V 2024.04","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.04/2000246243.png?width=100&height=100","0
                                 2"
"Borys Ponomarenko","https://sortitoutsi.net/graphics/browse/1/1789561/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000452124.png","2000452124","","","0
                                 1"
"Carlos Martín","https://sortitoutsi.net/graphics/browse/1/1561346/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000301770.png","2000301770","V 2025.05","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.05/2000301770.png?width=100&height=100","0
                                 3"
"Ceri Imadiyi","https://sortitoutsi.net/graphics/browse/1/1815355/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000494265.png","2000494265","","","0
                                 1"
"Choco","https://sortitoutsi.net/graphics/browse/1/1810881/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000510272.png","2000510272","","","0
                                 1"
"David Affengruber","https://sortitoutsi.net/graphics/browse/1/787816/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/16202375.png","16202375","V 2024.08","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.08/16202375.png?width=100&height=100","2
                                 17"
"David Delgado","https://sortitoutsi.net/graphics/browse/1/1823867/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000510308.png","2000510308","","","0
                                 1"
"Dídac Castellà","https://sortitoutsi.net/graphics/browse/1/1811188/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000510286.png","2000510286","","","0
                                 1"
"Federico Redondo","https://sortitoutsi.net/graphics/browse/1/1144340/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/14253394.png","14253394","","","2
                                 16"
"Germán Valera","https://sortitoutsi.net/graphics/browse/1/990374/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67278144.png","67278144","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67278144.png?width=100&height=100","0
                                 14"
"Gonzalo Del Castillo","https://sortitoutsi.net/graphics/browse/1/1370049/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000137138.png","2000137138","V 2022.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2022.03/2000137138.png?width=100&height=100","0
                                 2"
"Grady Diangana","https://sortitoutsi.net/graphics/browse/1/283973/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/28101028.png","28101028","","","1
                                 26"
"Guido Fernández","https://sortitoutsi.net/graphics/browse/1/1264095/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000054871.png","2000054871","V 2023.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.03/2000054871.png?width=100&height=100","0
                                 3"
"Haizam Bonillo","https://sortitoutsi.net/graphics/browse/1/1780462/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000446668.png","2000446668","","","0
                                 1"
"Héctor Fort","https://sortitoutsi.net/graphics/browse/1/1521527/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000227977.png","2000227977","","","1
                                 13"
"Iñaki Peña","https://sortitoutsi.net/graphics/browse/1/458816/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67221484.png","67221484","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67221484.png?width=100&height=100","2
                                 30"
"Ismael Muñoz","https://sortitoutsi.net/graphics/browse/1/1802202/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000510280.png","2000510280","","","0
                                 1"
"Jalmar Ramírez","https://sortitoutsi.net/graphics/browse/1/1822100/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000407974.png","2000407974","","","0
                                 2"
"Joan Mut","https://sortitoutsi.net/graphics/browse/1/1813464/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000510414.png","2000510414","","","0
                                 1"
"John Chetauya","https://sortitoutsi.net/graphics/browse/1/1067620/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67295648.png","67295648","","","0
                                 10"
"Josan Ferrández","https://sortitoutsi.net/graphics/browse/1/451484/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67093858.png","67093858","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67093858.png?width=100&height=100","0
                                 14"
"Léo Pétrot","https://sortitoutsi.net/graphics/browse/1/379493/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/48043564.png","48043564","V 2024.05","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.05/48043564.png?width=100&height=100","4
                                 20"
"Marc Aguado","https://sortitoutsi.net/graphics/browse/1/785711/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67258846.png","67258846","","","2
                                 14"
"Martim Neto","https://sortitoutsi.net/graphics/browse/1/1072204/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/83261901.png","83261901","V 2025.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.07/83261901.png?width=100&height=100","6
                                 13"
"Mateo Sciancalepore","https://sortitoutsi.net/graphics/browse/1/1562769/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000299745.png","2000299745","V 2025.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.02/2000299745.png?width=100&height=100","0
                                 4"
"Matías Dituro","https://sortitoutsi.net/graphics/browse/1/482537/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/77016093.png","77016093","V 2024.04","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.04/77016093.png?width=100&height=100","0
                                 14"
"Nico González","https://sortitoutsi.net/graphics/browse/1/1819256/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000510296.png","2000510296","","","0
                                 1"
"Nico Salvador","https://sortitoutsi.net/graphics/browse/1/1810962/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000510277.png","2000510277","","","0
                                 1"
"Nordin","https://sortitoutsi.net/graphics/browse/1/1463915/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000221098.png","2000221098","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/2000221098.png?width=100&height=100","0
                                 5"
"Onyesom Precious","https://sortitoutsi.net/graphics/browse/1/1801915/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000510313.png","2000510313","","","0
                                 1"
"Owen Bosch","https://sortitoutsi.net/graphics/browse/1/1823715/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000510300.png","2000510300","","","0
                                 2"
