"item-title","item-title href","item-title src","copies-text","card-footer","px-3","submission-preview src"
"Aarón Soriano","https://sortitoutsi.net/graphics/browse/1/1820305/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000498401.png","2000498401","Contribute","",""
"Adama Timera","https://sortitoutsi.net/graphics/browse/1/1565508/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000294882.png","2000294882","0
                                 2","V 2024.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.02/2000294882.png?width=100&height=100"
"Adrià Benito","https://sortitoutsi.net/graphics/browse/1/1820851/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000479935.png","2000479935","Contribute","",""
"Aimar Vicandi","https://sortitoutsi.net/graphics/browse/1/1382946/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000119309.png","2000119309","4
                                 11","V 2023.15","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.15/2000119309.png?width=100&height=100"
"Albert Barris","https://sortitoutsi.net/graphics/browse/1/1814427/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000497070.png","2000497070","Contribute","",""
"Aleix Font","https://sortitoutsi.net/graphics/browse/1/1820269/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000497218.png","2000497218","Contribute","",""
"Alejandro Santiago","https://sortitoutsi.net/graphics/browse/1/1819481/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000497021.png","2000497021","0
                                 1","",""
"Alejandro Tura","https://sortitoutsi.net/graphics/browse/1/1802332/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000494448.png","2000494448","Contribute","",""
"Àlex Almansa","https://sortitoutsi.net/graphics/browse/1/1439086/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000161865.png","2000161865","0
                                 3","V 2022.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2022.13/2000161865.png?width=100&height=100"
"Àlex Bombardó","https://sortitoutsi.net/graphics/browse/1/1823969/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000449124.png","2000449124","Contribute","",""
"Álex Partera","https://sortitoutsi.net/graphics/browse/1/1802170/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000496975.png","2000496975","Contribute","",""
"Álex Ruiz","https://sortitoutsi.net/graphics/browse/1/1259354/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000047818.png","2000047818","0
                                 5","V 2025.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.02/2000047818.png?width=100&height=100"
"Ángel Fortuño","https://sortitoutsi.net/graphics/browse/1/1067637/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67295931.png","67295931","0
                                 8","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67295931.png?width=100&height=100"
"Angelo","https://sortitoutsi.net/graphics/browse/1/1560086/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000303608.png","2000303608","0
                                 2","V 2024.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.03/2000303608.png?width=100&height=100"
"Antón Uría","https://sortitoutsi.net/graphics/browse/1/1825991/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000460427.png","2000460427","0
                                 1","",""
"Antonio Moreno","https://sortitoutsi.net/graphics/browse/1/1820500/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000480223.png","2000480223","Contribute","",""
"Antoniu Roca","https://sortitoutsi.net/graphics/browse/1/1377610/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000126360.png","2000126360","0
                                 5","V 2023.09","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.09/2000126360.png?width=100&height=100"
"Arnau Cases","https://sortitoutsi.net/graphics/browse/1/1824455/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000479923.png","2000479923","Contribute","",""
"Biel Borrà","https://sortitoutsi.net/graphics/browse/1/1581289/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000269216.png","2000269216","0
                                 4","",""
"Biel Escribano","https://sortitoutsi.net/graphics/browse/1/1802452/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000438464.png","2000438464","Contribute","",""
"Bruno Partal","https://sortitoutsi.net/graphics/browse/1/1801535/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000462735.png","2000462735","Contribute","",""
"Carlos Romero","https://sortitoutsi.net/graphics/browse/1/1241016/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000019413.png","2000019413","0
                                 8","V 2023.11","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.11/2000019413.png?width=100&height=100"
"Carlos Sánchez","https://sortitoutsi.net/graphics/browse/1/1555892/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000309579.png","2000309579","0
                                 3","V 2024.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.03/2000309579.png?width=100&height=100"
"Charles Pickel","https://sortitoutsi.net/graphics/browse/1/536111/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/98033713.png","98033713","0
                                 13","V 2025.04","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.04/98033713.png?width=100&height=100"
"Christ Letono","https://sortitoutsi.net/graphics/browse/1/1474552/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000205027.png","2000205027","0
                                 4","V 2025.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.03/2000205027.png?width=100&height=100"
"Clemens Riedel","https://sortitoutsi.net/graphics/browse/1/1330032/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000069175.png","2000069175","0
                                 12","V 2024.11","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.11/2000069175.png?width=100&height=100"
"David Muñoz","https://sortitoutsi.net/graphics/browse/1/1820363/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000498319.png","2000498319","Contribute","",""
"David Santiago","https://sortitoutsi.net/graphics/browse/1/1802444/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000479915.png","2000479915","Contribute","",""
"Denis Cruz","https://sortitoutsi.net/graphics/browse/1/1812208/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000468739.png","2000468739","Contribute","",""
"Edu Expósito","https://sortitoutsi.net/graphics/browse/1/458924/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67224139.png","67224139","4
                                 16","V 2024.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.07/67224139.png?width=100&height=100"
"Elliot","https://sortitoutsi.net/graphics/browse/1/1812601/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000498274.png","2000498274","Contribute","",""
"Eloi Tost","https://sortitoutsi.net/graphics/browse/1/1812446/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000498391.png","2000498391","Contribute","",""
"Èric Aragonés","https://sortitoutsi.net/graphics/browse/1/1824378/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000498339.png","2000498339","Contribute","",""
"Fernando Calero","https://sortitoutsi.net/graphics/browse/1/458234/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67211739.png","67211739","0
                                 19","V 2024.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.07/67211739.png?width=100&height=100"
"Ferran Gómez","https://sortitoutsi.net/graphics/browse/1/1823681/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000397382.png","2000397382","0
                                 1","",""
