"item-title","item-title href","item-title src","copies-text","card-footer","px-3","submission-preview src"
"Aarón Blanco","https://sortitoutsi.net/graphics/browse/1/1803256/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000477138.png","2000477138","Contribute","",""
"Abel Ruiz","https://sortitoutsi.net/graphics/browse/1/460252/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67245418.png","67245418","2
                                 30","V 2023.15","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.15/67245418.png?width=100&height=100"
"Adrián Miranda","https://sortitoutsi.net/graphics/browse/1/1369444/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000138100.png","2000138100","0
                                 2","V 2022.11","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2022.11/2000138100.png?width=100&height=100"
"Aimar García","https://sortitoutsi.net/graphics/browse/1/1801512/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000407628.png","2000407628","0
                                 1","",""
"Aleix Mariné","https://sortitoutsi.net/graphics/browse/1/1820463/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000480910.png","2000480910","0
                                 1","",""
"Alejandro Francés","https://sortitoutsi.net/graphics/browse/1/1066899/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67281886.png","67281886","2
                                 16","V 2023.05","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.05/67281886.png?width=100&height=100"
"Alejandro Quiroz","https://sortitoutsi.net/graphics/browse/1/1812533/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000405962.png","2000405962","Contribute","",""
"Aleksandar Andreev","https://sortitoutsi.net/graphics/browse/1/1811105/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000380636.png","2000380636","0
                                 1","",""
"Álex Moreno","https://sortitoutsi.net/graphics/browse/1/454976/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67153373.png","67153373","2
                                 21","V 2024.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.00/67153373.png?width=100&height=100"
"Antonio Jesús Galera","https://sortitoutsi.net/graphics/browse/1/1812496/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000481013.png","2000481013","Contribute","",""
"Antonio Salguero","https://sortitoutsi.net/graphics/browse/1/1619092/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000335213.png","2000335213","0
                                 2","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/2000335213.png?width=100&height=100"
"Arnau Martínez","https://sortitoutsi.net/graphics/browse/1/1269313/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000062512.png","2000062512","2
                                 10","V 2023.15","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.15/2000062512.png?width=100&height=100"
"Axel Witsel","https://sortitoutsi.net/graphics/browse/1/154026/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/8169215.png","8169215","3
                                 49","",""
"Azzedine Ounahi","https://sortitoutsi.net/graphics/browse/1/972921/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/49052370.png","49052370","2
                                 20","",""
"Biel Farrés","https://sortitoutsi.net/graphics/browse/1/1576739/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000276485.png","2000276485","0
                                 3","V 2024.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.02/2000276485.png?width=100&height=100"
"Bryan Gil","https://sortitoutsi.net/graphics/browse/1/792116/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67260440.png","67260440","5
                                 20","V 2022.15","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2022.15/67260440.png?width=100&height=100"
"Carles Garrido","https://sortitoutsi.net/graphics/browse/1/1561270/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000301868.png","2000301868","1
                                 5","V 2024.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.02/2000301868.png?width=100&height=100"
"Cristhian Stuani","https://sortitoutsi.net/graphics/browse/1/484112/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/78000806.png","78000806","0
                                 25","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/78000806.png?width=100&height=100"
"Daley Blind","https://sortitoutsi.net/graphics/browse/1/305608/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/37005632.png","37005632","4
                                 72","V 2024.09","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.09/37005632.png?width=100&height=100"
"Dani Fernández","https://sortitoutsi.net/graphics/browse/1/1820383/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000477172.png","2000477172","Contribute","",""
"Daniel Arma?u","https://sortitoutsi.net/graphics/browse/1/1820952/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000477159.png","2000477159","Contribute","",""
"David Escoda","https://sortitoutsi.net/graphics/browse/1/1811669/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000410609.png","2000410609","Contribute","",""
"David López","https://sortitoutsi.net/graphics/browse/1/455276/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67155094.png","67155094","0
                                 24","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/67155094.png?width=100&height=100"
"David Sáez","https://sortitoutsi.net/graphics/browse/1/1812229/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000347484.png","2000347484","0
                                 1","",""
"Diego Miralles","https://sortitoutsi.net/graphics/browse/1/1812650/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000480899.png","2000480899","Contribute","",""
"Diego Vicente","https://sortitoutsi.net/graphics/browse/1/1812220/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000480955.png","2000480955","Contribute","",""
"Dominik Livakovic","https://sortitoutsi.net/graphics/browse/1/270508/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/24025298.png","24025298","1
                                 30","",""
