"item-title","item-title href","item-title src","copies-text","card-footer","px-3","submission-preview src"
"Adam Baabit","https://sortitoutsi.net/graphics/browse/1/1816981/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000483030.png","2000483030","0
                                 1","",""
"Adrián De la Fuente","https://sortitoutsi.net/graphics/browse/1/783256/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67258573.png","67258573","0
                                 18","",""
"Afner Cá","https://sortitoutsi.net/graphics/browse/1/1822803/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000391795.png","2000391795","Contribute","",""
"Aitor Manzanedo","https://sortitoutsi.net/graphics/browse/1/1801537/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000452127.png","2000452127","Contribute","",""
"Alan Matturro","https://sortitoutsi.net/graphics/browse/1/1407473/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000009463.png","2000009463","0
                                 13","V 2024.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.02/2000009463.png?width=100&height=100"
"Alberto Calatrava","https://sortitoutsi.net/graphics/browse/1/1819996/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000418740.png","2000418740","0
                                 1","",""
"Aldiyar Nurgali","https://sortitoutsi.net/graphics/browse/1/1825352/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000417051.png","2000417051","0
                                 1","",""
"Aleix Enríquez","https://sortitoutsi.net/graphics/browse/1/1811922/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000452131.png","2000452131","0
                                 1","",""
"Alejandro Herranz","https://sortitoutsi.net/graphics/browse/1/1561106/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000302165.png","2000302165","0
                                 2","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000302165.png?width=100&height=100"
"Álex Primo","https://sortitoutsi.net/graphics/browse/1/1426812/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000147031.png","2000147031","0
                                 10","",""
"Álvaro Moreno","https://sortitoutsi.net/graphics/browse/1/1811502/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000376670.png","2000376670","0
                                 1","",""
"Andrei Roate?","https://sortitoutsi.net/graphics/browse/1/1824220/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000412543.png","2000412543","Contribute","",""
"Ángel","https://sortitoutsi.net/graphics/browse/1/1809126/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000493691.png","2000493691","Contribute","",""
"Bachuri","https://sortitoutsi.net/graphics/browse/1/1560215/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000303409.png","2000303409","0
                                 2","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/2000303409.png?width=100&height=100"
"Borja Cortina","https://sortitoutsi.net/graphics/browse/1/1562476/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000300093.png","2000300093","0
                                 10","",""
"Carlos Álvarez","https://sortitoutsi.net/graphics/browse/1/1067185/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67291985.png","67291985","3
                                 14","",""
"Carlos Espí","https://sortitoutsi.net/graphics/browse/1/1562790/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000299722.png","2000299722","0
                                 6","",""
"Carlos Peñarada","https://sortitoutsi.net/graphics/browse/1/1561352/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000301763.png","2000301763","0
                                 3","V 2025.05","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.05/2000301763.png?width=100&height=100"
"Cayetano","https://sortitoutsi.net/graphics/browse/1/1562788/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000299725.png","2000299725","Contribute","",""
"Dani Cervera","https://sortitoutsi.net/graphics/browse/1/1439096/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000161854.png","2000161854","0
                                 3","V 2022.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2022.13/2000161854.png?width=100&height=100"
