"item-title","item-title href","item-title src","copies-text","card-footer","px-3","submission-preview src"
"Abdón Prats","https://sortitoutsi.net/graphics/browse/1/454670/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67142194.png","67142194","0
                                 16","",""
"Adrián Barquero","https://sortitoutsi.net/graphics/browse/1/1567277/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000292235.png","2000292235","0
                                 2","V 2024.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.03/2000292235.png?width=100&height=100"
"Adriano Torres","https://sortitoutsi.net/graphics/browse/1/1812377/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000405900.png","2000405900","Contribute","",""
"Aimar Peña","https://sortitoutsi.net/graphics/browse/1/1371979/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000134130.png","2000134130","0
                                 10","V 2023.15","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.15/2000134130.png?width=100&height=100"
"Alejandro Yerga","https://sortitoutsi.net/graphics/browse/1/1802285/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000455756.png","2000455756","Contribute","",""
"Andrew Coca","https://sortitoutsi.net/graphics/browse/1/1805564/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000456350.png","2000456350","0
                                 1","",""
"Antonio Raíllo","https://sortitoutsi.net/graphics/browse/1/454781/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67148381.png","67148381","0
                                 14","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/67148381.png?width=100&height=100"
"Antonio Sánchez","https://sortitoutsi.net/graphics/browse/1/976382/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67272744.png","67272744","0
                                 14","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/67272744.png?width=100&height=100"
"Bruno Calcagno","https://sortitoutsi.net/graphics/browse/1/1812934/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000385207.png","2000385207","Contribute","",""
"Cesc Riba","https://sortitoutsi.net/graphics/browse/1/1820144/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000449132.png","2000449132","Contribute","",""
"Dani Rodríguez","https://sortitoutsi.net/graphics/browse/1/109885/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/1509441.png","1509441","0
                                 20","",""
"David López","https://sortitoutsi.net/graphics/browse/1/1479593/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000197963.png","2000197963","0
                                 6","",""
"Eliott","https://sortitoutsi.net/graphics/browse/1/1566034/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000294125.png","2000294125","Contribute","",""
"Iker Mantilla","https://sortitoutsi.net/graphics/browse/1/1822345/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000464455.png","2000464455","0
                                 1","",""
"Iker Torres","https://sortitoutsi.net/graphics/browse/1/1793032/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000450556.png","2000450556","0
                                 1","",""
"Iliesse Salhi","https://sortitoutsi.net/graphics/browse/1/1568279/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000290833.png","2000290833","4
                                 4","V 2024.09","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.09/2000290833.png?width=100&height=100"
"Iván Cuéllar","https://sortitoutsi.net/graphics/browse/1/138378/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/7451366.png","7451366","0
                                 15","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/7451366.png?width=100&height=100"
"Jan Virgili","https://sortitoutsi.net/graphics/browse/1/1826989/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000402904.png","2000402904","1
                                 2","",""
"Jandro","https://sortitoutsi.net/graphics/browse/1/1810955/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000449128.png","2000449128","Contribute","",""
"Javi Llabrés","https://sortitoutsi.net/graphics/browse/1/1479590/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000197966.png","2000197966","0
                                 5","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/2000197966.png?width=100&height=100"
"Javier Nebot","https://sortitoutsi.net/graphics/browse/1/1790555/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000455846.png","2000455846","Contribute","",""
"Javier Olaizola","https://sortitoutsi.net/graphics/browse/1/1824281/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000455699.png","2000455699","0
                                 1","",""
"Joan Pol","https://sortitoutsi.net/graphics/browse/1/1811370/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000450524.png","2000450524","Contribute","",""
"Johan Mojica","https://sortitoutsi.net/graphics/browse/1/479726/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/76020280.png","76020280","0
                                 23","",""
