"item-title","item-title href","item-title src","copies-text","card-footer","px-3","submission-preview src"
"Aarón Escandell","https://sortitoutsi.net/graphics/browse/1/457110/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67192427.png","67192427","1
                                 14","",""
"Abdel Rahim Alhassane","https://sortitoutsi.net/graphics/browse/1/1373732/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000131530.png","2000131530","0
                                 10","",""
"Adri","https://sortitoutsi.net/graphics/browse/1/1538255/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000233313.png","2000233313","0
                                 5","V 2024.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.03/2000233313.png?width=100&height=100"
"Adrián Lopes","https://sortitoutsi.net/graphics/browse/1/1567727/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000291554.png","2000291554","0
                                 2","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000291554.png?width=100&height=100"
"Alberto Reina","https://sortitoutsi.net/graphics/browse/1/460343/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67245796.png","67245796","0
                                 5","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67245796.png?width=100&height=100"
"Álex Forés","https://sortitoutsi.net/graphics/browse/1/1067623/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67295651.png","67295651","0
                                 11","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/67295651.png?width=100&height=100"
"Álvaro Lemos","https://sortitoutsi.net/graphics/browse/1/453373/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67118135.png","67118135","0
                                 13","",""
"Álvaro Rodríguez","https://sortitoutsi.net/graphics/browse/1/1813174/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000497028.png","2000497028","0
                                 1","",""
"Ángel Conde","https://sortitoutsi.net/graphics/browse/1/1791081/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000460421.png","2000460421","0
                                 1","",""
"Arturo Arribas","https://sortitoutsi.net/graphics/browse/1/1820616/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000431909.png","2000431909","0
                                 1","",""
"Brandon Domingues","https://sortitoutsi.net/graphics/browse/1/380120/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/49037466.png","49037466","3
                                 8","V 2024.11","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.11/49037466.png?width=100&height=100"
"Castri","https://sortitoutsi.net/graphics/browse/1/1067448/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67294959.png","67294959","1
                                 9","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67294959.png?width=100&height=100"
"Dani Calvo","https://sortitoutsi.net/graphics/browse/1/458764/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67218464.png","67218464","0
                                 17","",""
"David Carmo","https://sortitoutsi.net/graphics/browse/1/492828/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/83111598.png","83111598","3
                                 29","",""
"David Costas","https://sortitoutsi.net/graphics/browse/1/457048/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67191439.png","67191439","0
                                 22","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67191439.png?width=100&height=100"
"Diego Espinosa","https://sortitoutsi.net/graphics/browse/1/1530817/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000246509.png","2000246509","0
                                 3","V 2024.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.02/2000246509.png?width=100&height=100"
"Diego Tejón","https://sortitoutsi.net/graphics/browse/1/1322046/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000082508.png","2000082508","0
                                 4","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/2000082508.png?width=100&height=100"
"Dieguito","https://sortitoutsi.net/graphics/browse/1/1567730/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000291551.png","2000291551","0
                                 4","V 2024.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.03/2000291551.png?width=100&height=100"
"Enzo Pérez","https://sortitoutsi.net/graphics/browse/1/1819468/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000460423.png","2000460423","0
                                 1","",""
"Éric Bailly","https://sortitoutsi.net/graphics/browse/1/457079/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67191910.png","67191910","0
                                 28","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/67191910.png?width=100&height=100"
"Federico Viñas","https://sortitoutsi.net/graphics/browse/1/978250/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/78093405.png","78093405","1
                                 15","V 2024.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.03/78093405.png?width=100&height=100"
"Guillermo Berzal","https://sortitoutsi.net/graphics/browse/1/1810700/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000394759.png","2000394759","0
                                 1","",""
"Haissem Hassan","https://sortitoutsi.net/graphics/browse/1/972973/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/49053388.png","49053388","1
                                 10","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/49053388.png?width=100&height=100"
"Horatiu Moldovan","https://sortitoutsi.net/graphics/browse/1/409145/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/57150378.png","57150378","0
                                 23","",""
"Ilyas Chaira","https://sortitoutsi.net/graphics/browse/1/1269314/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000062514.png","2000062514","0
                                 6","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/2000062514.png?width=100&height=100"
"Jaime Coballes","https://sortitoutsi.net/graphics/browse/1/1590208/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000254277.png","2000254277","0
                                 4","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/2000254277.png?width=100&height=100"
"Javi López","https://sortitoutsi.net/graphics/browse/1/1067330/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67293674.png","67293674","0
                                 14","",""
"Jean Ndo","https://sortitoutsi.net/graphics/browse/1/1791060/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000493462.png","2000493462","0
                                 1","",""
"Joaquín Delgado","https://sortitoutsi.net/graphics/browse/1/1387415/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000112598.png","2000112598","0
                                 9","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/2000112598.png?width=100&height=100"
"Josip Brekalo","https://sortitoutsi.net/graphics/browse/1/271389/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/24046837.png","24046837","4
                                 40","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/24046837.png?width=100&height=100"
"Kiril Romanchenko","https://sortitoutsi.net/graphics/browse/1/1802759/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000460424.png","2000460424","0
                                 1","",""
"Kwasi Sibo","https://sortitoutsi.net/graphics/browse/1/800766/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/59130428.png","59130428","0
                                 12","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/59130428.png?width=100&height=100"
"Leander Dendoncker","https://sortitoutsi.net/graphics/browse/1/206064/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/18057380.png","18057380","4
                                 42","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/18057380.png?width=100&height=100"
"Lucas","https://sortitoutsi.net/graphics/browse/1/457721/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67199396.png","67199396","0
                                 12","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67199396.png?width=100&height=100"
"Lucas Antañón","https://sortitoutsi.net/graphics/browse/1/1379225/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000124115.png","2000124115","0
                                 7","V 2023.12","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.12/2000124115.png?width=100&height=100"
"Luka Ilic","https://sortitoutsi.net/graphics/browse/1/438081/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/62164327.png","62164327","1
                                 23","",""
"Marco Esteban","https://sortitoutsi.net/graphics/browse/1/1529788/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000247950.png","2000247950","0
                                 5","V 2024.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.07/2000247950.png?width=100&height=100"
"Marcos Lopes","https://sortitoutsi.net/graphics/browse/1/1567724/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000291558.png","2000291558","0
                                 2","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000291558.png?width=100&height=100"
"Marcos Sánchez","https://sortitoutsi.net/graphics/browse/1/1820205/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000460425.png","2000460425","0
                                 1","",""
"Martín","https://sortitoutsi.net/graphics/browse/1/1811481/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000375970.png","2000375970","0
                                 1","",""
"Mate Sauri","https://sortitoutsi.net/graphics/browse/1/1556711/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000308458.png","2000308458","0
                                 2","V 2024.08","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.08/2000308458.png?width=100&height=100"
"Michael Oladipupo","https://sortitoutsi.net/graphics/browse/1/1747484/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000442681.png","2000442681","0
                                 1","",""
"Miguel Narváez","https://sortitoutsi.net/graphics/browse/1/1520075/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000230120.png","2000230120","0
                                 5","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/2000230120.png?width=100&height=100"
"Mouhamed Lamine","https://sortitoutsi.net/graphics/browse/1/1534058/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000242044.png","2000242044","0
                                 5","V 2023.15","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.15/2000242044.png?width=100&height=100"
"Nacho Vidal","https://sortitoutsi.net/graphics/browse/1/456885/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67184889.png","67184889","0
                                 21","V 2024.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.02/67184889.png?width=100&height=100"
"Oier Luengo","https://sortitoutsi.net/graphics/browse/1/783858/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67258680.png","67258680","0
                                 16","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67258680.png?width=100&height=100"
"Omar Falah","https://sortitoutsi.net/graphics/browse/1/1533359/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000243024.png","2000243024","0
                                 4","V 2023.15","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.15/2000243024.png?width=100&height=100"
"Óscar De La Hera","https://sortitoutsi.net/graphics/browse/1/1563139/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000299245.png","2000299245","0
                                 2","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000299245.png?width=100&height=100"
"Óscar Maza","https://sortitoutsi.net/graphics/browse/1/1748289/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000385585.png","2000385585","0
                                 1","",""
"Ovie Ejaria","https://sortitoutsi.net/graphics/browse/1/283996/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/28101722.png","28101722","2
                                 13","V 11.04","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/11.04/28101722.png?width=100&height=100"
"Pablo Agudín","https://sortitoutsi.net/graphics/browse/1/1824003/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000291539.png","2000291539","0
                                 1","",""
"Pelayo García","https://sortitoutsi.net/graphics/browse/1/1466103/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000217729.png","2000217729","0
                                 4","V 2024.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.03/2000217729.png?width=100&height=100"
"Salomón Rondón","https://sortitoutsi.net/graphics/browse/1/450455/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67063933.png","67063933","0
                                 33","",""
"Santi Cazorla","https://sortitoutsi.net/graphics/browse/1/138576/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/7456688.png","7456688","0
                                 37","",""
"Santiago Colombatto","https://sortitoutsi.net/graphics/browse/1/185049/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/14110838.png","14110838","7
                                 17","",""
"Xune Rivas","https://sortitoutsi.net/graphics/browse/1/1820613/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000460420.png","2000460420","0
                                 1","",""
