"item-title","item-title href","item-title src","copies-text","px-3","submission-preview src","card-footer"
"Aihen Muñoz","https://sortitoutsi.net/graphics/browse/1/460410/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67246383.png","67246383","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/67246383.png?width=100&height=100","0
                                 23"
"Aitor Fraga","https://sortitoutsi.net/graphics/browse/1/1067251/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67292825.png","67292825","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/67292825.png?width=100&height=100","0
                                 5"
"Ákos Tompa","https://sortitoutsi.net/graphics/browse/1/1797733/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000467103.png","2000467103","","","1
                                 1"
"Alberto Dadie","https://sortitoutsi.net/graphics/browse/1/976626/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67276476.png","67276476","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67276476.png?width=100&height=100","0
                                 5"
"Álex Lebarbier","https://sortitoutsi.net/graphics/browse/1/1366996/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000141556.png","2000141556","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/2000141556.png?width=100&height=100","0
                                 8"
"Álex Marchal","https://sortitoutsi.net/graphics/browse/1/1826745/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000416938.png","2000416938","","","0
                                 1"
"Álex Remiro","https://sortitoutsi.net/graphics/browse/1/456795/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67183918.png","67183918","","","0
                                 28"
"Álvaro Odriozola","https://sortitoutsi.net/graphics/browse/1/457724/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67199408.png","67199408","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/67199408.png?width=100&height=100","0
                                 25"
"Anartz Segurola","https://sortitoutsi.net/graphics/browse/1/1825969/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000411717.png","2000411717","","","0
                                 1"
"Ander Barrenetxea","https://sortitoutsi.net/graphics/browse/1/976632/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67276482.png","67276482","","","0
                                 25"
"Andrews Adjabeng","https://sortitoutsi.net/graphics/browse/1/1800812/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000411731.png","2000411731","","","Contribute"
