"item-title","item-title href","item-title src","copies-text","px-3","submission-preview src","card-footer"
"Abdellah Raihani","https://sortitoutsi.net/graphics/browse/1/1377840/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000125954.png","2000125954","V 2023.04","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.04/2000125954.png?width=100&height=100","0
                                 5"
"Adnan Januzaj","https://sortitoutsi.net/graphics/browse/1/205994/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/18054092.png","18054092","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/18054092.png?width=100&height=100","0
                                 43"
"Akor Adams","https://sortitoutsi.net/graphics/browse/1/974168/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/53167062.png","53167062","","","1
                                 13"
"Alberto Collado","https://sortitoutsi.net/graphics/browse/1/1468277/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000214603.png","2000214603","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/2000214603.png?width=100&height=100","0
                                 5"
"Alberto Espiñeira","https://sortitoutsi.net/graphics/browse/1/1562460/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000300124.png","2000300124","V 2026.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2026.00/2000300124.png?width=100&height=100","0
                                 2"
"Alberto Flores","https://sortitoutsi.net/graphics/browse/1/1399110/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000094510.png","2000094510","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/2000094510.png?width=100&height=100","1
                                 10"
"Álex Costa","https://sortitoutsi.net/graphics/browse/1/1473520/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000206473.png","2000206473","","","0
                                 4"
"Alexis Ciria","https://sortitoutsi.net/graphics/browse/1/1823934/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000389019.png","2000389019","","","0
                                 1"
"Alexis Sánchez","https://sortitoutsi.net/graphics/browse/1/475776/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/75000261.png","75000261","V 2024.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.03/75000261.png?width=100&height=100","6
                                 65"
"Alfon","https://sortitoutsi.net/graphics/browse/1/784094/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67255218.png","67255218","V 2025.08","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/67255218.png?width=100&height=100","0
                                 9"
"Álvaro Fernández","https://sortitoutsi.net/graphics/browse/1/460430/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67246951.png","67246951","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/67246951.png?width=100&height=100","1
                                 19"
"Andrés Castrín","https://sortitoutsi.net/graphics/browse/1/1262815/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000052955.png","2000052955","V 2023.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.07/2000052955.png?width=100&height=100","0
                                 5"
