"item-title","item-title href","item-title src","copies-text","card-footer","px-3","submission-preview src"
"Aaron Mayol","https://sortitoutsi.net/graphics/browse/1/1824626/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000479804.png","2000479804","0
                                 2","",""
"Adri Ochoa","https://sortitoutsi.net/graphics/browse/1/1790363/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000463455.png","2000463455","0
                                 1","",""
"Aimar Blázquez","https://sortitoutsi.net/graphics/browse/1/1624469/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000325320.png","2000325320","0
                                 2","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/2000325320.png?width=100&height=100"
"Alain Gómez","https://sortitoutsi.net/graphics/browse/1/1823511/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000405969.png","2000405969","0
                                 1","",""
"Alejandro Estévez","https://sortitoutsi.net/graphics/browse/1/1822060/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000405966.png","2000405966","0
                                 1","",""
"Alejandro Panach","https://sortitoutsi.net/graphics/browse/1/1563801/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000298364.png","2000298364","0
                                 2","V 2024.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.02/2000298364.png?width=100&height=100"
"Álex Cerdá","https://sortitoutsi.net/graphics/browse/1/1427728/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000145445.png","2000145445","0
                                 4","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/2000145445.png?width=100&height=100"
"Alexander Gurendal","https://sortitoutsi.net/graphics/browse/1/1466208/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000217555.png","2000217555","0
                                 3","V 2023.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.02/2000217555.png?width=100&height=100"
"Alín Gabriel","https://sortitoutsi.net/graphics/browse/1/1821420/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000405965.png","2000405965","Contribute","",""
"André Almeida","https://sortitoutsi.net/graphics/browse/1/496269/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/83152928.png","83152928","1
                                 25","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/83152928.png?width=100&height=100"
"Andrés Caro","https://sortitoutsi.net/graphics/browse/1/1395463/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000100140.png","2000100140","2
                                 9","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000100140.png?width=100&height=100"
"Arnaut Danjuma","https://sortitoutsi.net/graphics/browse/1/307661/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/37051305.png","37051305","0
                                 27","V 2024.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.00/37051305.png?width=100&height=100"
"Baptiste Santamaria","https://sortitoutsi.net/graphics/browse/1/77769/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/211515.png","211515","0
                                 24","V 2025.04","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.04/211515.png?width=100&height=100"
"Carlos Alós","https://sortitoutsi.net/graphics/browse/1/1824333/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000382572.png","2000382572","0
                                 1","",""
"César Tárrega","https://sortitoutsi.net/graphics/browse/1/1067459/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67295021.png","67295021","2
                                 16","",""
"Cristian Rivero","https://sortitoutsi.net/graphics/browse/1/460388/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67246343.png","67246343","0
                                 32","",""
"Dani Raba","https://sortitoutsi.net/graphics/browse/1/458732/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67216778.png","67216778","0
                                 12","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/67216778.png?width=100&height=100"
"David Otorbi","https://sortitoutsi.net/graphics/browse/1/1826649/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000300159.png","2000300159","0
                                 1","",""
"Diego López","https://sortitoutsi.net/graphics/browse/1/1264831/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000055904.png","2000055904","4
                                 18","",""
"Dimitri Foulquier","https://sortitoutsi.net/graphics/browse/1/502249/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/85045661.png","85045661","0
                                 30","",""
"Dominykas Taucas","https://sortitoutsi.net/graphics/browse/1/1820480/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000497884.png","2000497884","0
                                 1","",""
"Eray Cömert","https://sortitoutsi.net/graphics/browse/1/536108/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/98033710.png","98033710","3
                                 30","V 2024.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.07/98033710.png?width=100&height=100"
"Filip Ugrinic","https://sortitoutsi.net/graphics/browse/1/536364/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/98041219.png","98041219","1
                                 20","V 2024.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.07/98041219.png?width=100&height=100"
"Héctor Mir","https://sortitoutsi.net/graphics/browse/1/1821949/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000500544.png","2000500544","0
                                 1","",""
"Hugo Duro","https://sortitoutsi.net/graphics/browse/1/976477/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67274349.png","67274349","1
                                 21","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67274349.png?width=100&height=100"
"Hugo Fernández","https://sortitoutsi.net/graphics/browse/1/1824126/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000497883.png","2000497883","0
                                 1","",""
"Hugo Giner","https://sortitoutsi.net/graphics/browse/1/1824620/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000500545.png","2000500545","Contribute","",""
"Hugo Guijarro","https://sortitoutsi.net/graphics/browse/1/1820744/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000405964.png","2000405964","0
                                 1","",""
"Hugo Póveda","https://sortitoutsi.net/graphics/browse/1/1825194/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000500547.png","2000500547","0
                                 1","",""
"Ismail El Aoud","https://sortitoutsi.net/graphics/browse/1/1824565/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000497882.png","2000497882","Contribute","",""
"Iván Mejía","https://sortitoutsi.net/graphics/browse/1/1821484/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000405968.png","2000405968","0
                                 1","",""
"Jaume Durà","https://sortitoutsi.net/graphics/browse/1/1826169/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000399536.png","2000399536","0
                                 1","",""
"Javi Guerra","https://sortitoutsi.net/graphics/browse/1/1250386/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000034344.png","2000034344","0
                                 17","",""
"Javi Navarro","https://sortitoutsi.net/graphics/browse/1/1405828/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000034336.png","2000034336","0
                                 5","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000034336.png?width=100&height=100"
"Javier Pamies","https://sortitoutsi.net/graphics/browse/1/1377471/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000126530.png","2000126530","0
                                 4","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/2000126530.png?width=100&height=100"
"Jerry Amadife","https://sortitoutsi.net/graphics/browse/1/1824983/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000500549.png","2000500549","Contribute","",""
"Jesús Vázquez","https://sortitoutsi.net/graphics/browse/1/1134700/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/95078288.png","95078288","1
                                 22","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/95078288.png?width=100&height=100"
"Joel Fontanet","https://sortitoutsi.net/graphics/browse/1/1801496/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000404525.png","2000404525","Contribute","",""
