"item-title","item-title href","item-title src","copies-text","px-3","submission-preview src","card-footer"
"Adrià Altimira","https://sortitoutsi.net/graphics/browse/1/1067633/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67295760.png","67295760","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/67295760.png?width=100&height=100","0
                                 19"
"Adrián Ruiz","https://sortitoutsi.net/graphics/browse/1/1565818/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000294437.png","2000294437","V 2024.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.02/2000294437.png?width=100&height=100","0
                                 2"
"Alassane Diatta","https://sortitoutsi.net/graphics/browse/1/1819035/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000395751.png","2000395751","","","0
                                 1"
"Albert García","https://sortitoutsi.net/graphics/browse/1/1810642/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000478660.png","2000478660","","","0
                                 1"
"Alberto Moleiro","https://sortitoutsi.net/graphics/browse/1/1246598/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000028320.png","2000028320","","","0
                                 14"
"Alejandro Palomares","https://sortitoutsi.net/graphics/browse/1/1820002/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000498697.png","2000498697","","","Contribute"
"Álex Quevedo","https://sortitoutsi.net/graphics/browse/1/1313433/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000066275.png","2000066275","V 2022.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2022.13/2000066275.png?width=100&height=100","0
                                 2"
"Álex Rubio","https://sortitoutsi.net/graphics/browse/1/1576394/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000277002.png","2000277002","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000277002.png?width=100&height=100","0
                                 2"
"Alfonso Pedraza","https://sortitoutsi.net/graphics/browse/1/458300/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67212046.png","67212046","","","1
                                 20"
"Alonso Nyada","https://sortitoutsi.net/graphics/browse/1/1747540/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000482973.png","2000482973","","","Contribute"
"Álvaro Alcaide","https://sortitoutsi.net/graphics/browse/1/1821878/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000507854.png","2000507854","","","Contribute"
"Aran Vidal","https://sortitoutsi.net/graphics/browse/1/1815321/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000507813.png","2000507813","","","Contribute"
"Arnau Forés","https://sortitoutsi.net/graphics/browse/1/1468410/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000214415.png","2000214415","V 2024.09","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.09/2000214415.png?width=100&height=100","0
                                 5"
"Arnau Tenas","https://sortitoutsi.net/graphics/browse/1/976211/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67265794.png","67265794","","","0
                                 23"
"Ayoze Pérez","https://sortitoutsi.net/graphics/browse/1/455730/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67172040.png","67172040","V 2024.10","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.10/67172040.png?width=100&height=100","1
                                 31"
"Bilal Errahaly","https://sortitoutsi.net/graphics/browse/1/1814789/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000507817.png","2000507817","","","0
                                 1"
"Carlos López","https://sortitoutsi.net/graphics/browse/1/1812515/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000325284.png","2000325284","","","Contribute"
